Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice-Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,ACS/2024/0598,8/5/2024,8/30/2024,8/1/2024,8/31/2024,"14,300.00",ACE CRANE SYSTEMS L L C,ACE,10003XXXXX00003,REPAIR & MAINTENANCE,715,715,-
01 Invoice,111111111111111,ABC LTD.,240085917,8/29/2024,8/30/2024,8/1/2024,8/31/2024,548.00,AQUIL STAR GENERAL TRADING L L C,AQUI,10037XXXXX00003,V-BELT C-75,27.4,27.4,-
01 Invoice,111111111111111,ABC LTD.,24085946,8/30/2024,8/30/2024,8/1/2024,8/31/2024,"7,610.00",AQUIL STAR GENERAL TRADING L L C,AQUI,10037XXXXX00003,TIMING BELT 14 M X 1558 X 32 MM,380.5,380.5,-
01 Invoice,111111111111111,ABC LTD.,MBM/24/526,8/27/2024,8/30/2024,8/1/2024,8/31/2024,"22,600.00",AL MUJTABAH BUILDING MATERIALS TRADING L L C,AL M,10026XXXXX00003,TARPOLINE,"1,130.00","1,130.00",-
01 Invoice,111111111111111,ABC LTD.,MBM/24/523,8/24/2024,8/30/2024,8/1/2024,8/31/2024,"2,877.60",AL MUJTABAH BUILDING MATERIALS TRADING L L C,AL M,10026XXXXX00003,MEASURING TAPE 30 MTR STEEL (FREEMANS),143.88,143.88,-
01 Invoice,111111111111111,ABC LTD.,MBM/24/524,8/27/2024,8/30/2024,8/1/2024,8/31/2024,"3,085.00",AL MUJTABAH BUILDING MATERIALS TRADING L L C,AL M,10026XXXXX00003,MASKING TAPE 3'',154.25,154.25,-
01 Invoice,111111111111111,ABC LTD.,MBM/24/487,8/10/2024,8/30/2024,8/1/2024,8/31/2024,648.00,AL MUJTABAH BUILDING MATERIALS TRADING L L C,AL M,10026XXXXX00003,STENCIL CUTTING PAPER 7 X 24,32.4,32.4,-
01 Invoice,111111111111111,ABC LTD.,MBM/24/486,8/10/2024,8/30/2024,8/1/2024,8/31/2024,"8,500.00",AL MUJTABAH BUILDING MATERIALS TRADING L L C,AL M,10026XXXXX00003,TARPOLINE,425,425,-
01 Invoice,111111111111111,ABC LTD.,CCI-707110,8/21/2024,8/30/2024,8/1/2024,8/31/2024,"23,200.00",AL ZUBAIR GENERAL TRADING L L C,AL Z,10004XXXXX00003,"AC DRIVE ACS580-01-073A-4, 37KW+J400","1,160.00","1,160.00",-
01 Invoice,111111111111111,ABC LTD.,22304,8/15/2024,8/30/2024,8/1/2024,8/31/2024,"12,000.00",ARABIAN RUBBER INDUSTRIES L L C,ARAB,10006XXXXX00003,RUBBER STOPPER,600,600,-
01 Invoice,111111111111111,ABC LTD.,974951,8/26/2024,8/30/2024,8/1/2024,8/31/2024,"3,150.00",AL KHALIJ ENTERPRISES L L C,AL K,10026XXXXX00003,WELDING MACHINE 300 AMP,157.5,157.5,-
01 Invoice,111111111111111,ABC LTD.,22290,8/14/2024,8/30/2024,8/1/2024,8/31/2024,"12,685.00",ARABIAN RUBBER INDUSTRIES L L C,ARAB,10006XXXXX00003,MS WHEEL FOR PU COATING 376 X 455 X 102 MM,634.25,634.25,-
01 Invoice,111111111111111,ABC LTD.,SI-14178,8/12/2024,8/30/2024,8/1/2024,8/31/2024,"6,064.00",AL BWARDY TECHNICAL & INDUSTRIAL L.L.C,AL B,10000XXXXX00003,HELMET APLOLO 60 B400960,303.2,303.2,-
01 Invoice,111111111111111,ABC LTD.,SI-14053,8/1/2024,8/30/2024,8/1/2024,8/31/2024,860.00,AL BWARDY TECHNICAL & INDUSTRIAL L.L.C,AL B,10000XXXXX00003,RAC TIP XHD 829,43,43,-
01 Invoice,111111111111111,ABC LTD.,COI-L090857-24,8/13/2024,8/30/2024,8/1/2024,8/31/2024,"9,100.00",AL FARIS EQUIPMENT RENTALS LLC,AL F,10004XXXXX00003,Hire Charges - Forklift/Crane/Others,455,455,-
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2230,8/8/2024,8/30/2024,8/1/2024,8/31/2024,"18,000.00",AL IKHAA TECHNICAL SERVICES L L C,AL I,10020XXXXX00003,AC maintenance,900,900,-
01 Invoice,111111111111111,ABC LTD.,68974,8/2/2024,8/30/2024,8/1/2024,8/31/2024,"12,600.00",ALIF SAFETY EQUIPMENT TRADING L L C,ALIF,10000XXXXX00003,FIRE RESISTANT COVERALLS,630,630,-
01 Invoice,111111111111111,ABC LTD.,8097058527,8/23/2024,8/30/2024,8/1/2024,8/31/2024,720.00,AKZO NOBEL UAE PAINTS L L C,AKZO,10002XXXXX00003,INTERSEAL PAINT 1052 INTERNATIONAL,36,36,-
01 Invoice,111111111111111,ABC LTD.,8097058189,8/14/2024,8/30/2024,8/1/2024,8/31/2024,"4,080.00",AKZO NOBEL UAE PAINTS L L C,AKZO,10002XXXXX00003,THINNER GTA 853,204,204,-
01 Invoice,111111111111111,ABC LTD.,INV-MCL24-6474,8/1/2024,8/30/2024,8/1/2024,8/31/2024,"19,115.00",METRIC CALIBRATION & TESTING LABORATORY,METR,10046XXXXX00003,OTHER SERVICES CHARGES,955.75,955.75,-
01 Invoice,111111111111111,ABC LTD.,SFT/0273/2024,8/12/2024,8/30/2024,8/1/2024,8/31/2024,"5,768.00",PIONEER PIPES TRADING FZC,PION,10047XXXXX00003,SAFETY HELMET WITH VISOR CHAIN STRIP,288.4,288.4,-
01 Invoice,111111111111111,ABC LTD.,4416,8/14/2024,8/30/2024,8/1/2024,8/31/2024,856,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,OXYGEN 240 CU.FT,42.8,42.8,-
01 Invoice,111111111111111,ABC LTD.,13306,8/30/2024,8/30/2024,8/1/2024,8/31/2024,"1,800.00",FAKHRI TOOLS & WORKSHOP MATERIALS TRADING L L C,FAKH,10006XXXXX00003,GRINDING MACHINE AG-5 DEWAL,90,90,-
01 Invoice,111111111111111,ABC LTD.,CD8624018378,8/1/2024,8/30/2024,8/1/2024,8/31/2024,"84,400.00",JOTUN POWDER COATINGS UAE L L C,JOTU,10005XXXXX00003,JOTA PIPE DL 3002 /15 S BLUE SMOOTH,"4,220.00","4,220.00",-
01 Invoice,111111111111111,ABC LTD.,CD8624018924,8/7/2024,8/30/2024,8/1/2024,8/31/2024,"118,160.00",JOTUN POWDER COATINGS UAE L L C,JOTU,10005XXXXX00003,JOTA PIPE DL 3002 /15 S BLUE SMOOTH,"5,908.00","5,908.00",-
01 Invoice,111111111111111,ABC LTD.,JIS0008490,8/13/2024,8/30/2024,8/1/2024,8/31/2024,"21,765.20",EBRAHIM ALSHAKER INDUSTRIAL EQUIPMENT TRADING L L C,EBRA,10031XXXXX00003,HYDRAULIC CYLINDER ENERPAC 50 TON HLS502,"1,088.26","1,088.26",-
01 Invoice,111111111111111,ABC LTD.,13709,8/11/2024,8/30/2024,8/1/2024,8/31/2024,"2,150.00",GOLDEN BEARING AUTO SPARE PARTS TR. LLC,GOLD,10038XXXXX00003,CIRCLIP INT 105 MM,107.5,107.5,-
01 Invoice,111111111111111,ABC LTD.,INV-3838,8/13/2024,8/30/2024,8/1/2024,8/31/2024,"20,650.00",IPLEX ADVERTISING,IPLE,10056XXXXX00003,OTHER SERVICES CHARGES,"1,032.50","1,032.50",-
01 Invoice,111111111111111,ABC LTD.,2710009089,8/30/2024,8/30/2024,8/1/2024,8/31/2024,895.00,THOR MIDDLE EAST L L C,THOR,10000XXXXX00003,GUIDE STRIP 15 X 2.5,44.75,44.75,-
01 Invoice,111111111111111,ABC LTD.,CD8624018982,8/8/2024,8/30/2024,8/1/2024,8/31/2024,"134,460.00",JOTUN POWDER COATINGS UAE L L C,JOTU,10005XXXXX00003,JOTA PIPE HT 1020 /21 S GREY SMOOTH,"6,723.00","6,723.00",-
01 Invoice,111111111111111,ABC LTD.,TINV-00004520,8/27/2024,8/30/2024,8/1/2024,8/31/2024,760,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,LPG 44 KG (YELLOW),38,38,-
01 Invoice,111111111111111,ABC LTD.,SI240304,8/16/2024,8/30/2024,8/1/2024,8/31/2024,"22,693.40",OOSC COATING FZC,OOSC,10025XXXXX00003,OTHER SERVICES CHARGES,"1,134.67","1,134.67",-
01 Invoice,111111111111111,ABC LTD.,7765,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"10,839.00",EXPRESS BLDG CLEANING & PEST CONTROL SERVICES,EXPR,10036XXXXX00003,Office Cleaning&Maintenance- 3 cleaner-Aug'24,541.95,541.95,-
01 Invoice,111111111111111,ABC LTD.,181,8/31/2024,8/31/2024,8/1/2024,8/31/2024,720.00,BUKHARI TRANSPORTS L L C,BUKH,10039XXXXX00003,Yard Expenses- Water - 1000GLN,36,36,-
01 Invoice,111111111111111,ABC LTD.,2180-32-000004723,8/13/2024,8/31/2024,8/1/2024,8/31/2024,"42,700.00",ENSURE MIDDLE EAST TECHNOLOGY SOLUTIONS L L C,ENSU,10024XXXXX00003,"Capital Equipment- HP 440G9-All-In-One i5-13500T
 for- Mr.Neelmani-coating","2,135.00","2,135.00",-
01 Invoice,111111111111111,ABC LTD.,3M-3061-24,8/23/2024,8/31/2024,8/1/2024,8/31/2024,"5,050.00",3M STAR COMPUTERS LLC,3M S,10039XXXXX00003,Capital Equipment- Dell p2422he hub monitor,252.5,252.5,-
01 Invoice,111111111111111,ABC LTD.,GS0242217,8/26/2024,8/31/2024,8/1/2024,8/31/2024,300.00,HAMRIYAH FREE ZONE AUTHORITY,HAMR,10039XXXXX00003,OTHER SERVICES CHARGES- AC Overhauling charges -2 nos - Accommodation - E01- S8 & E-03 - G12,15.00,15,-
01 Invoice,111111111111111,ABC LTD.,SI2024/03600,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"7,700.00",MRAIBET DRAIANGE & WATER L L C,MRAI,10007XXXXX00003,Sewage Tanker Service- Emptying of Septic Tank - 5000GL - Aug '24,385.00,385,-
01 Invoice,111111111111111,ABC LTD.,8402492,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"13,045.60",BEEAH SHARJAH ENVIROMENT CO LLC,BEEA,10000XXXXX00003,"Disposal Charges- 1.1 CBM (BA) MIN. Billing4/M
 Minimum Lift & Disposal Charge Qty
 
 9CBM C&I (BA) MIN BILLING -1/M
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Paint Contamination
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Welding flux
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Polypropylene
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Expoxy powder
 Dispo. Charges (Ton)
 Bin rent (per month) -May '24",652.28,652.28,-
01 Invoice,111111111111111,ABC LTD.,8402512,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"12,772.60",BEEAH SHARJAH ENVIROMENT CO LLC,BEEA,10000XXXXX00003,"Disposal Charges- 1.1 CBM (BA) MIN. Billing4/M
 Minimum Lift & Disposal Charge Qty
 
 9CBM C&I (BA) MIN BILLING -1/M
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Paint Contamination
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Welding flux
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Polypropylene
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Expoxy powder
 Dispo. Charges (Ton)
 Bin rent (per month) -April '24",638.63,638.63,-
01 Invoice,111111111111111,ABC LTD.,8402851,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"19,192.80",BEEAH SHARJAH ENVIROMENT CO LLC,BEEA,10000XXXXX00003,"Disposal Charges- 1.1 CBM (BA) MIN. Billing4/M
 Minimum Lift & Disposal Charge Qty
 
 9CBM C&I (BA) MIN BILLING -1/M
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Paint Contamination
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Welding flux
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Polypropylene
 Dispo. Charges (Ton)
 Bin rent (per month)
 
 18 CBM HAZ (BA) Expoxy powder
 Dispo. Charges (Ton)
 Bin rent (per month) -June '24",959.64,959.64,-
01 Invoice,111111111111111,ABC LTD.,8402852,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"1,621.00",BEEAH SHARJAH ENVIROMENT CO LLC,BEEA,10000XXXXX00003,"Disposal Charges- 9CBM C&I (2BA) On call - Plot HE07 Dispo. Charges ( Ton) 
 
 Bin Rent (Per Month)",81.05,81.05,-
01 Invoice,111111111111111,ABC LTD.,1606,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"23,800.00",AL IHSSAN PASSENGER BUSES TRANSPORT,AL I,10056XXXXX00003,Rental Charges- 22 seater from Ajman to Hamriyah- 2 round trips- Aug '24,"1,190.00","1,190.00",-
01 Invoice,111111111111111,ABC LTD.,3M-3058-24,8/22/2024,8/31/2024,8/1/2024,8/31/2024,"3,575.00",3M STAR COMPUTERS LLC,3M S,10039XXXXX00003,IT Expenses- HP330 wireless keyboard with mouse combo,178.75,178.75,-
01 Invoice,111111111111111,ABC LTD.,2024/160,8/16/2024,8/31/2024,8/1/2024,8/31/2024,"2,175.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,TRANSPORT CHARGES,108.75,108.75,-
01 Invoice,111111111111111,ABC LTD.,2024/161,8/16/2024,8/31/2024,8/1/2024,8/31/2024,"2,900.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,TRANSPORT CHARGES,145,145,-
01 Invoice,111111111111111,ABC LTD.,22521,8/23/2024,8/31/2024,8/1/2024,8/31/2024,"2,150.00",BIN OMAIR PRINTING PRESS LLC,BIN,10023XXXXX00003,"Printing Charges- NCR 1+3
 Internal Exit Gate pass - A5 - W+P+Y+W
 2 colour printing",107.5,107.5,-
01 Invoice,111111111111111,ABC LTD.,AMF2400001141,8/14/2024,8/31/2024,8/1/2024,8/31/2024,"1,655.00",NOATUM LOGISTICS MIDDLE EAST LLC OPC,NOAT,10007XXXXX00003,Documentation Expenses,82.75,82.75,-
01 Invoice,111111111111111,ABC LTD.,13964492,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"12,512.80",OASIS PURE WATER FACTORY LLC,OASI,10002XXXXX00003,Office Cleaning&Maintenance- Water - 330ML - AUG '24,625.64,625.64,-
01 Invoice,111111111111111,ABC LTD.,MFTC#1111,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"166,189.20",MOHD.FIROZ TECH CONT,MOHD,10006XXXXX00003,TEMPORARY STAFF- EOT OPERATOR-AUG'24,"8,309.46","8,309.46",-
01 Invoice,111111111111111,ABC LTD.,2024/158,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"2,900.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,TRANSPORT CHARGES,145,145,-
01 Invoice,111111111111111,ABC LTD.,242732,8/13/2024,8/31/2024,8/1/2024,8/31/2024,"24,762.00",XUZHOU CONSTRUCTION MACHINERY (MIDDLE EAST) CO LLC,XUZH,10037XXXXX00003,HYD HOSE 06C0035 LOADER,"1,238.10","1,238.10",-
01 Invoice,111111111111111,ABC LTD.,674,8/13/2024,8/31/2024,8/1/2024,8/31/2024,"28,241.40",DELTA INTERNATIONAL BUILDING MATERIALS L L C,DELT,10024XXXXX00003,POWERCRETE R-95 PART-A 15.1 L 28 KG,"1,412.07","1,412.07",-
01 Invoice,111111111111111,ABC LTD.,30460,8/1/2024,8/31/2024,8/1/2024,8/31/2024,"7,920.00",RUKN AL SAJAA AUTO SPARE PARTS TR,RUKN,10031XXXXX00003,BATTERY 6 VOLT,396,396,-
01 Invoice,111111111111111,ABC LTD.,693459,8/22/2024,8/31/2024,8/1/2024,8/31/2024,150.00,GRAND STATIONERY CO LLC,GRAN,10024XXXXX00003,"Stationary- Printed Stamp 
 Gate In/Out -CML Yard",7.50,7.5,-
01 Invoice,111111111111111,ABC LTD.,32994,8/19/2024,8/31/2024,8/1/2024,8/31/2024,150.00,RICH PRINTING PRESS L.L.C,RICH,10000XXXXX00003,Business Cards- Business Card 2/2 colour - Anand Unnithan,7.5,7.5,-
01 Invoice,111111111111111,ABC LTD.,2180-32-000004663,7/27/2024,8/31/2024,8/1/2024,8/31/2024,"11,250.00",ENSURE MIDDLE EAST TECHNOLOGY SOLUTIONS L L C,ENSU,10024XXXXX00003,"Capital Equipment- HP G440 – i7 ,32gb ,1 TB SSD",562.5,562.5,-
01 Invoice,111111111111111,ABC LTD.,71617,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"32,550.00",PROFESSIONAL SECURITY SYSTEMS,PROF,10056XXXXX00003,TEMPORARY STAFF-SECURITY GUARDS-AUGUST'24,"1,627.50","1,627.50",-
01 Invoice,111111111111111,ABC LTD.,STM/CN-059,8/27/2024,8/31/2024,8/1/2024,8/31/2024,-135.20,STAR TECHNICAL & MARINE SERVICES,STAR,10022XXXXX00003,TEMPORARY STAFF- CREDIT AGAINST ON INV-STM/156/2024-JULY'24,-6.76,-6.76,-
01 Invoice,111111111111111,ABC LTD.,AS24/1198,8/28/2024,8/31/2024,8/1/2024,8/31/2024,"2,537.40",AYSHA STATIONERY AND GIFT TRADING,AYSH,10054XXXXX00003,Stationary-August'24 stationery purchase,126.87,126.87,-
01 Invoice,111111111111111,ABC LTD.,005/CRN/AMDF/JUNE/24,8/1/2024,8/31/2024,8/1/2024,8/31/2024,"-10,933.00",AL SABIHA ELECTROMECHANICAL WORKS,AL S,10058XXXXX00003,TEMPORARY STAFF- excess in hours at full rate,-546.65,-546.65,-
01 Invoice,111111111111111,ABC LTD.,3188,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"74,911.60",SEA PEARL OILFIELDS SERVICES LLC,SEA,10035XXXXX00003,TEMPORARY STAFF- FITTER- AUG 24,"3,745.58","3,745.58",-
01 Invoice,111111111111111,ABC LTD.,STM/0181,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"65,081.60",STAR TECHNICAL & MARINE SERVICES,STAR,10022XXXXX00003,TEMPORARY STAFF- Helper -aug'24,"3,254.08","3,254.08",-
01 Invoice,111111111111111,ABC LTD.,1607,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"7,200.00",AL IHSSAN PASSENGER BUSES TRANSPORT,AL I,10056XXXXX00003,Rental Charges- Double Cabin pick up with driver 7 fuel,360,360,-
01 Invoice,111111111111111,ABC LTD.,3M-3055-24,8/20/2024,8/31/2024,8/1/2024,8/31/2024,"3,032.00",3M STAR COMPUTERS LLC,3M S,10039XXXXX00003,OTHER SERVICES CHARGES,151.6,151.6,-
01 Invoice,111111111111111,ABC LTD.,4381,8/9/2024,8/31/2024,8/1/2024,8/31/2024,72.00,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,OXYGEN 240 CU.FT,3.6,3.6,-
01 Invoice,111111111111111,ABC LTD.,4365,8/7/2024,8/31/2024,8/1/2024,8/31/2024,84.00,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,OXYGEN 240 CU.FT,4.2,4.2,-
01 Invoice,111111111111111,ABC LTD.,4317,8/2/2024,8/31/2024,8/1/2024,8/31/2024,120.00,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,OXYGEN 240 CU.FT,6,6,-
01 Invoice,111111111111111,ABC LTD.,4496,8/24/2024,8/31/2024,8/1/2024,8/31/2024,832.00,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,OXYGEN 240 CU.FT,41.6,41.6,-
01 Invoice,111111111111111,ABC LTD.,R00798,8/15/2024,8/31/2024,8/1/2024,8/31/2024,140.20,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Expenses,7.01,7.01,-
01 Invoice,111111111111111,ABC LTD.,4440,8/24/2024,8/31/2024,8/1/2024,8/31/2024,120,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,OXYGEN 240 CU.FT,6,6,-
01 Invoice,111111111111111,ABC LTD.,4464,8/20/2024,8/31/2024,8/1/2024,8/31/2024,950,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,LPG 44 KG (YELLOW),47.5,47.5,-
01 Invoice,111111111111111,ABC LTD.,4482,8/22/2024,8/31/2024,8/1/2024,8/31/2024,940,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,OXYGEN 240 CU.FT,47,47,-
01 Invoice,111111111111111,ABC LTD.,26220,8/27/2024,8/31/2024,8/1/2024,8/31/2024,"2,010.00",PNEUMICS AUTOMATION SYSTEMS TRADING-L.L.C,PNEU,10045XXXXX00003,FRL 1/2'',100.5,100.5,-
01 Invoice,111111111111111,ABC LTD.,576,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"1,530.00",PNEUMICS AUTOMATION SYSTEMS TRADING-L.L.C,PNEU,10045XXXXX00003,"WATER HOSE, 2'' X 2.5 MTR LG ONE SIDE ST ONE SIDE 90* BEND",76.5,76.5,-
01 Invoice,111111111111111,ABC LTD.,587,8/16/2024,8/31/2024,8/1/2024,8/31/2024,120.00,PNEUMICS AUTOMATION SYSTEMS TRADING-L.L.C,PNEU,10045XXXXX00003,HEX NIPPLE MS 1 1/4'',6,6,-
01 Invoice,111111111111111,ABC LTD.,575,8/16/2024,8/31/2024,8/1/2024,8/31/2024,383.80,PNEUMICS AUTOMATION SYSTEMS TRADING-L.L.C,PNEU,10045XXXXX00003,HYDRAULIC HOSE 1/2'' X 2 MTR BOTH SIDE 90* BEND,19.19,19.19,-
01 Invoice,111111111111111,ABC LTD.,2024/159,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"4,350.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,TRANSPORT CHARGES,217.5,217.5,-
01 Invoice,111111111111111,ABC LTD.,4525,8/28/2024,8/31/2024,8/1/2024,8/31/2024,"1,830.00",PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,LPG 44 KG (YELLOW),91.5,91.5,-
01 Invoice,111111111111111,ABC LTD.,4515,8/27/2024,8/31/2024,8/1/2024,8/31/2024,310,PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,OXYGEN 240 CU.FT,15.5,15.5,-
01 Invoice,111111111111111,ABC LTD.,4538,8/29/2024,8/31/2024,8/1/2024,8/31/2024,"1,520.00",PURE GAS SUPPLY LLC,PURE,10055XXXXX00003,LPG 44 KG (YELLOW),76,76,-
01 Invoice,111111111111111,ABC LTD.,INV/1580/2024,8/5/2024,8/31/2024,8/1/2024,8/31/2024,435,MERCURY GLOBAL SHIPPING FZE,MERC,10407XXXXX00003,DOCUMENT CHARGES,21.75,21.75,-
01 Invoice,111111111111111,ABC LTD.,HYD/559/PP/2024,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"2,750.00",PIONEER PIPES TRADING FZC,PION,10047XXXXX00003,SS PIPE 1 '' SCH-10,137.5,137.5,-
01 Invoice,111111111111111,ABC LTD.,HYD/558/PP/2024,8/19/2024,8/31/2024,8/1/2024,8/31/2024,"7,112.00",PIONEER PIPES TRADING FZC,PION,10047XXXXX00003,SS PIPE 1 1/2'' SCH-10,355.6,355.6,-
01 Invoice,111111111111111,ABC LTD.,2024/00131,8/16/2024,8/31/2024,8/1/2024,8/31/2024,"4,802.20",PROTECH ENGG & SUPPLIES LLC,PROT,10020XXXXX00003,ROLL MOUNTING BODY HEAD SUPPORT,240.11,240.11,-
01 Invoice,111111111111111,ABC LTD.,INV/2024/00168,8/21/2024,8/31/2024,8/1/2024,8/31/2024,"2,612.60",PROTECH ENGG & SUPPLIES LLC,PROT,10020XXXXX00003,WHEEL SUPPORT ROLLER 54/33.5 X 71 LG,130.63,130.63,-
01 Invoice,111111111111111,ABC LTD.,AMF2400001021,8/8/2024,8/31/2024,8/1/2024,8/31/2024,"1,622.00",NOATUM LOGISTICS MIDDLE EAST LLC OPC,NOAT,10007XXXXX00003,Documentation Expenses,81.1,81.1,-
01 Invoice,111111111111111,ABC LTD.,22186,8/3/2024,8/31/2024,8/1/2024,8/31/2024,"3,750.00",ARABIAN RUBBER INDUSTRIES L L C,ARAB,10006XXXXX00003,RUBBER SHEET 10 MM 3 PLY,187.5,187.5,-
01 Invoice,111111111111111,ABC LTD.,MBM/24/467,8/5/2024,8/31/2024,8/1/2024,8/31/2024,"1,217.00",AL MUJTABAH BUILDING MATERIALS TRADING L L C,AL M,10026XXXXX00003,MASKING TAPE 2'',60.85,60.85,-
01 Invoice,111111111111111,ABC LTD.,S1246988,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"2,433.00",BEARINGS WORLD AUTO SPARE PARTS TRADING L.L.C.,BEAR,10034XXXXX00003,BALL BEARING 6214 zz,121.65,121.65,-
01 Invoice,111111111111111,ABC LTD.,SI247397,8/29/2024,8/31/2024,8/1/2024,8/31/2024,794.00,BEARINGS WORLD AUTO SPARE PARTS TRADING L.L.C.,BEAR,10034XXXXX00003,PILLOW BLOCK BEARING P-208,39.7,39.7,-
01 Invoice,111111111111111,ABC LTD.,54702,8/24/2024,8/31/2024,8/1/2024,8/31/2024,"1,060.00",CLEAN BLAST INTERNATIONAL LLC,CLEA,10033XXXXX00003,FILTER 60 MESS 167025,53,53,-
01 Invoice,111111111111111,ABC LTD.,54292,8/7/2024,8/31/2024,8/1/2024,8/31/2024,495,CLEAN BLAST INTERNATIONAL LLC,CLEA,10033XXXXX00003,SILVER SPAY FLAT TIP 917,24.75,24.75,-
01 Invoice,111111111111111,ABC LTD.,54337,8/9/2024,8/31/2024,8/1/2024,8/31/2024,"1,807.00",CLEAN BLAST INTERNATIONAL LLC,CLEA,10033XXXXX00003,POP UP O RING P/ NO 119200 FOR BLATING M/C 200 LTR,90.35,90.35,-
01 Invoice,111111111111111,ABC LTD.,54338,8/9/2024,8/31/2024,8/1/2024,8/31/2024,"4,245.00",CLEAN BLAST INTERNATIONAL LLC,CLEA,10033XXXXX00003,VISIOR INNER B400964,212.25,212.25,-
01 Invoice,111111111111111,ABC LTD.,2932858,8/28/2024,8/31/2024,8/1/2024,8/31/2024,700.6,CUMMINS SALES AND SERVICES L L C,CUMM,10048XXXXX00003,THERMOSTATIC CONNECTION WATER INLET,35.03,35.03,-
01 Invoice,111111111111111,ABC LTD.,2932732,8/28/2024,8/31/2024,8/1/2024,8/31/2024,"2,026.00",CUMMINS SALES AND SERVICES L L C,CUMM,10048XXXXX00003,RADIATOR COOLANT,101.3,101.3,-
01 Invoice,111111111111111,ABC LTD.,AST-AJM-02379,7/1/2024,8/31/2024,8/1/2024,8/31/2024,750,ARABIAN SKY TRANSPORT L L C,ARAB,10058XXXXX00003,Transportation charges ( JBL TO HFZ),37.5,37.5,-
01 Invoice,111111111111111,ABC LTD.,AST-AJM-02453,8/1/2024,8/31/2024,8/1/2024,8/31/2024,"1,800.00",ARABIAN SKY TRANSPORT L L C,ARAB,10058XXXXX00003,TRANSPORTATION CHARGES ( HFZ TO HFZ PHAZE 2 ) 18 MTR,90,90,-
01 Invoice,111111111111111,ABC LTD.,2024/133,7/20/2024,8/31/2024,8/1/2024,8/31/2024,"2,175.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,TRANSPORTATION CHARGES (JAFZA TO HAFZA),108.75,108.75,-
